x1	x2	y
4.25	6.85	1
5.88	4.59	0
2.06	3.7	1
1.4	1.99	0
4.45	6.66	1
1.5	7.8	0
5.02	1.46	0
3.09	5.22	0
1.1	7.17	0
5.16	3.58	0
3.83	5.03	0
5.39	6.83	0
4.53	7.02	1
5.54	9.7	0
1.79	5.28	0
3.69	5.43	0
4.89	8.05	0
3.2	1.53	1
6.46	8.05	0
3.37	0.8	0
5.88	0.08	0
1.13	4.92	0
6.83	0.29	0
3.45	7.25	1
5.27	0.15	0
1.44	1.39	0
5.32	0.95	0
4.9	6.54	1
2.24	0.42	0
3.78	2.02	0
5.31	6.7	0
1.62	4.35	0
2.67	5.21	1
3.76	2.16	0
1.1	0.52	0
4.96	1.11	1
5.03	0.4	0
6.99	9.44	0
2.6	-0.87	0
3.65	5.23	0
5.81	4.76	0
3.53	2.43	0
1.14	6.47	0
5.84	0.66	0
3.73	4.48	1
3.15	4.63	1
5.51	3.09	0
3.07	0.5	0
6.12	5.52	0
4.41	8.98	0
6.48	1.43	0
1.08	9.53	0
3.7	8.62	0
1.6	7.77	0
1.54	0.31	0
6.02	7.53	0
1.74	2.33	0
3.97	2.85	0
6.3	5.14	0
4.61	2.93	1
4.27	9.16	0
5.22	4.81	0
3.12	8.64	0
5.28	7.31	0
4.03	1.22	1
1.63	6.73	0
2.25	9.42	0
4.83	5.42	1
3.93	8.18	0
4.03	1.36	1
4.66	9.07	0
2.22	-0.88	0
4.08	4.88	1
2.69	9.36	0
4.42	2.09	1
6.44	9.76	0
2.21	8.32	0
5.43	9.85	0
2.11	9.65	0
2.27	1.19	1
2.87	2.81	1
5.12	3.32	0
3.41	8.45	0
2.44	2.98	1
5.08	8.67	0
5.39	9.08	0
5.91	-0.55	0
1.96	4.95	0
1.87	4.83	0
6.93	6.67	0
1.9	4.04	0
3.97	-0.83	0
5.82	0.17	0
5.54	6.74	0
4.42	5.08	1
3.31	7.61	1
2.34	9.59	0
6.14	8.13	0
1.99	7.61	0
3.79	1.29	1
1.48	0.74	0
2.86	0.99	0
2.52	0.25	0
4.34	4.89	1
1.65	2.34	0
1.69	7.4	0
5.26	5.48	0
3.81	2.88	0
4.6	8.21	0
5.76	2.11	0
3.6	1.4	1
1.97	9.34	0
2.35	4.36	1
5.28	5.06	0
1.62	2.79	0
5.99	7.57	0
5.68	5.46	0
2.56	1.92	1
4.41	2.54	1
2.56	8.2	0
1.03	3.22	0
2.83	4.12	1
1.42	8.06	0
4.14	7.98	1
4.13	5.57	1
4.36	2.38	1
2.89	-0.31	0
2.64	4.25	1
3.18	3.77	0
5.66	9.81	0
2.65	5.86	1
1.39	1.52	0
2.47	4.88	1
2.42	6.42	1
4.21	6.04	1
1.13	7.54	0
3.58	4.61	1
2.31	5.06	1
3.38	0.52	0
1.69	4.82	0
6.29	7.3	0
6.2	1.47	0
5.03	1.66	0
4.55	5.58	1
3.45	5.36	0
6.78	2.76	0
5.31	6.82	0
1.46	1.88	0
2.11	6.2	1
1.18	0.21	0
3.84	7.57	1
2.25	2.39	1
5.8	9.12	0
5.83	1.83	0
1.82	5.71	0
4.05	0.48	0
5.87	5.91	0
4.61	1.26	1
6.32	7.96	0
5.85	-0.73	0
3.06	1.94	1
4.66	7.23	1
4.15	9.97	0
2.46	9.93	0
6.56	4.15	0
2.5	-0.17	0
4.86	5.85	1
4.6	3.35	1
3.17	3.95	0
3.67	9.84	0
1.13	5.52	0
3.42	3.41	0
3.83	2.6	0
4.64	6.5	1
2.47	5.12	1
3.26	3.03	0
5.13	1.99	0
3.48	0.04	0
5.76	4.75	0
1.85	1.05	0
5.34	8.22	0
3.97	8.27	0
6.4	9.43	0
5.18	8.65	0
4.94	6.51	1
1.44	4.31	0
3.23	-0.34	0
4.99	7.87	1
1.75	6.76	0
3.66	-0.56	0
5.25	8.73	0
5.79	9.27	0
6.48	-0.7	0
3.91	3.73	0
3.46	1.39	1
4.07	5.25	1
5.73	7.73	0
3.11	-0.81	0
