x1	x2	y
2.54	1.32	1
1.63	9.75	0
5.62	-0.37	0
1.9	0.11	0
6.58	7.74	0
2.58	4.79	1
3.58	4.79	0
1.36	-0.46	0
3.89	5.1	0
5.41	3.73	0
4.13	6.48	1
5.49	3.69	0
2.91	8.44	0
2.87	8.12	0
1.69	4.48	0
2.03	6.1	1
5.74	-0.22	0
3.05	2.94	0
2.78	-0.1	0
5.66	7.35	0
2.41	2.13	1
2.3	5.18	1
6.22	1.07	0
3.76	-0.05	0
3.66	3.03	0
3.59	8.45	0
1.2	6.89	0
5.33	2.71	0
1.97	4.34	0
3.51	6.96	0
2.88	2.83	1
5.99	6.91	0
1.39	6.92	0
2.6	7.64	1
2.56	1.21	1
3.43	8.35	0
6.95	4.81	0
3.78	6.75	0
1.48	5.76	0
5.44	-0.93	0
3.86	3.95	0
4.15	-0.9	0
4.04	8.02	0
6.3	5.92	0
3.94	8.68	0
4.7	2.38	1
6.14	2.92	0
6.38	3.81	0
3.15	0.04	0
1.32	6.64	0
2.58	7.59	1
4.87	3.25	1
3.07	0.86	0
4.86	5.72	1
6.75	9.45	0
6.38	9.43	0
6.52	-0.2	0
1.49	1.65	0
1.9	8.19	0
4.71	9.06	0
1.31	4.72	0
3.48	9.66	0
5.48	7.56	0
2.85	6.11	1
5.55	1.71	0
4.92	0.87	0
2.5	0.26	0
5.21	6.23	0
5.65	9.61	0
6.13	4.39	0
2.24	7.54	1
4.62	4.9	1
1.46	7.07	0
4.27	5.13	1
6.97	1.29	0
2.89	8.61	0
3.23	4.77	0
4.6	3.9	1
5.86	9.67	0
6.16	7.1	0
6.21	4.58	0
1.06	9.79	0
3.18	5.44	0
4.31	8.67	0
1.21	0.59	0
2.23	1.49	1
5.44	9.64	0
5.83	3.56	0
3.26	2.72	0
2.01	0.91	0
5.4	9.23	0
4.97	9.19	0
5.25	0.3	0
2.2	0.37	0
3.64	-0.07	0
3.79	2.75	0
2.61	-0.24	0
5.21	7.45	0
4.1	1.57	1
3.27	-0.24	0
5.52	9.02	0
5.11	9.68	0
3.06	9.17	0
4.99	1.49	1
1.16	9.66	0
4.84	9.85	0
2.46	4.81	1
2.5	2.49	1
2.68	0.97	0
6.83	3.44	0
1.18	9.64	0
1.03	7.86	0
1.93	9.62	0
1.49	-0.98	0
6.75	6.72	0
3.12	6.19	0
5.71	9.47	0
1.09	4.43	0
6.78	8.96	0
2.88	0.46	0
5.24	1.01	0
5.95	5.43	0
1.82	9.56	0
3.45	9.18	0
4.98	3.6	1
4.15	-0.83	0
1.74	8.05	0
3.69	4.6	0
4.07	2.67	1
4.49	-0.44	0
3.63	5.24	0
4.95	3.56	1
4.47	2.98	1
1.31	2.1	0
2.96	1.93	1
3.81	7.18	1
6.59	3.29	0
3.94	1.84	1
3.3	5.75	0
2.86	4.77	1
1.24	8.95	0
1.9	9.98	0
4.44	0.1	0
4.88	4.86	1
1.28	-0.5	0
6.56	4.7	0
4.82	-0.38	0
3.62	1.8	1
3.98	3.3	0
5.75	-0.52	0
6.94	8.39	0
2.17	6.05	1
3.42	7.26	1
4.95	-0.15	0
2.3	4.53	1
3.02	3.45	0
6.36	6.02	0
3.13	7.03	1
5.1	9.05	0
3.69	-0.76	0
6.58	-0.23	0
2.58	5.57	1
2.65	2.72	1
5.51	8.87	0
3.11	9.5	0
5.74	0.5	0
5.19	-0.13	0
5.47	-0.75	0
2.75	2.6	1
2.52	3.97	1
2.92	0.69	0
2.69	-0.8	0
4.57	6.91	1
6.78	7.64	0
4.26	3.97	1
4.12	9.85	0
3.56	6.78	0
2.47	-0.12	0
5.79	7.55	0
5.98	6.83	0
6.73	8.43	0
5.57	9.81	0
4.74	2.11	1
3.51	7.7	1
3.48	7.91	1
1.18	2.87	0
6.42	-0.71	0
2.09	-0.56	0
5.73	8.65	0
6.76	3.46	0
5.31	-0.46	0
2.58	1.13	1
2.25	0.97	0
5.29	1.13	0
2.1	2.94	1
4.39	4.54	1
1.85	9.71	0
1.03	3.2	0
